,category
0,"['Accounting', 'Auditing', 'Taxation']"
1,"['Admin', 'Secretarial']"
2,"['Advertising', 'Media']"
3,"['Architecture', 'Interior Design']"
4,['Banking and Finance']
5,['Building and Construction']
6,['Consulting']
7,['Customer Service']
8,['Design']
9,['Education and Training']
10,['Engineering']
11,['Entertainment']
12,"['Environment', 'Health']"
13,"['Events', 'Promotions']"
14,['General Management']
15,['General Work']
16,"['Healthcare', 'Pharmaceutical']"
17,['Hospitality']
18,['Human Resources']
19,['Information Technology']
20,['Insurance']
21,['Legal']
22,"['Logistics', 'Supply Chain']"
23,['Manufacturing']
24,"['Marketing', 'Public Relations']"
25,"['Medical', 'Therapy Services']"
26,['Others']
27,"['Personal Care', 'Beauty']"
28,['Precision Engineering']
29,['Professional Services']
30,"['Public', 'Civil Service']"
31,"['Purchasing', 'Merchandising']"
32,"['Real Estate', 'Property Management']"
33,['Repair and Maintenance']
34,['Risk Management']
35,"['Sales', 'Retail']"
36,['Security and Investigation']
37,['Social Services']
38,['Telecommunications']
39,"['Travel', 'Tourism']"
